*       h1              h2              h3              h4              h5              h6              h7              h8              h9              h10             h11             h12             h13             h14             h15             h16             h17             h18             h19             h20             h21             h22             h23             h24
        1               2               3               4               5               6               7               8               9               10              11              12              13              14              15              16              17              18              19              20              21              22              23              24
bs62    17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766      17.7632766
bs63    17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538     17.86425538
bs64    17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266      17.9423266
bs65    18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668     18.07625668
bs66    18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542     18.14931542
bs67    18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299      18.2221299
bs68    18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117     18.35057117
bs69    18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486     18.44379486
bs70    18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598     18.51969598
bs71    18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084      18.6263084
bs72    18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333     18.70152333
bs73    18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587     18.79588587
bs74    18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874     18.88500874
bs75    18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393     18.98347393
bs76    19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226     19.09496226
bs77    19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685     19.22215685
bs78    19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858     19.31608858
bs79    19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987     19.39004987
bs80    19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228      19.5033228
bs81    19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184      19.5678184
bs82    19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258     19.64296258
bs83    19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519     19.77584519
bs84    19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157     19.86018157
bs85    19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371     19.93472371
bs86    20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367     20.05010367
bs87    20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023     20.14935023
bs88    20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719     20.22196719
bs89    20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968     20.32663968
bs90    20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096     20.45055096
bs91    20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361     20.47324361
bs92    20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634     20.55783634
