*       h1              h2              h3              h4              h5              h6              h7              h8              h9              h10             h11             h12             h13             h14             h15             h16             h17             h18             h19             h20             h21             h22             h23             h24
bs17    149.7423996     151.3630317     147.202327      134.9426907     136.4178665     143.4597712     155.6896364     152.1745734     166.3914617     180.8013605     212.1408269     211.178066      219.7953783     219.5280913     226.256634      224.4687421     239.8497739     221.4404531     229.5535773     217.9782419     220.6668148     212.89261       185.7228746     192.1711824
bs18    150.2498611     152.0511938     148.036003      135.7355152     137.1967694     144.4630038     156.3486205     153.1996213     167.0183757     181.4496295     212.7497586     212.1514223     220.7889906     220.1511705     227.007314      224.8233833     240.6175931     222.4059874     230.3821753     218.4782757     221.4516122     213.6424121     186.4524616     193.0623196
bs19    150.9064657     152.8602358     148.7151756     136.5465411     137.9374494     145.5040015     156.9580836     153.6954784     168.065695      182.1126106     213.3710124     212.4356814     221.4008324     220.7771468     227.8434784     226.0041451     241.1858739     223.1347555     230.9954554     219.2645293     222.4162345     214.3578235     187.2922163     193.7297047
bs20    151.7891548     153.4953721     149.4639518     137.5040516     138.757237      146.0456577     157.6152786     154.5085416     168.618997      182.6613509     214.1818588     213.3733114     222.2172903     221.7086176     228.5229637     226.6493337     242.0134021     223.7984144     231.7718188     220.0500494     223.0264266     214.8423873     187.8324306     194.792328
bs21    152.3432417     154.313418      150.3801798     137.8737961     139.4235742     146.6743967     158.1843076     155.333655      169.3208467     183.1440249     214.8565732     214.2864572     223.0356317     222.3599084     229.3369559     227.4411502     242.7359172     224.8085488     232.6627175     220.6888427     223.7712111     216.0565232     188.8493291     195.5125141
bs22    152.9836629     155.1017796     151.1072124     138.7055886     140.0851635     147.9347843     159.0407773     156.1384377     170.2668235     184.0967164     215.5159962     214.8297238     223.6802735     223.256733      230.0579699     228.2501068     243.5710609     225.4717354     233.4394666     221.3563305     224.5648166     216.6746537     189.5738135     196.111804
bs23    154.0795873     155.9305423     151.7611475     139.4450364     140.667275      148.6506995     159.4740809     157.2034981     171.0310986     184.5948361     216.2256447     215.855164      224.3322662     223.8884326     230.7575987     229.3159493     244.4351616     226.3779767     234.4450074     222.099704      225.2612313     217.521369      190.3003974     197.0738766
bs24    154.7548547     156.6154829     152.4870814     140.1291903     141.4237661     149.4340095     160.3025351     157.9260759     171.9380249     185.6814625     216.9282242     216.3771728     224.7787574     224.7128542     231.6605392     229.7197351     245.0201516     226.8244861     234.8616757     222.6560348     225.9305072     218.2441774     191.2589633     198.0104967
bs25    155.4888612     157.3445147     153.1746013     140.9003021     142.2019186     150.1670949     160.8474696     158.5028939     172.711496      186.2803863     217.4886455     216.9983437     225.6784039     225.4938916     232.7480688     230.6460957     245.7980882     227.8169949     235.6969591     223.330261      226.679209      219.0162886     191.9053796     198.6437971
bs26    156.0030216     158.1098969     154.0724026     141.7524511     143.0744614     150.8235501     161.34656       159.2634393     173.4465915     186.8494609     218.3150265     217.7354712     226.6214608     226.1423253     233.4531461     231.5204164     246.5468424     228.5902426     236.5240336     224.0924664     227.444913      219.710221      192.9721982     199.4386178
