,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
as96,198.8130658,197.3544695,193.4936986,176.4793594,185.6784681,185.6379884,198.0026704,199.7368315,209.1884111,227.6613908,256.3192152,263.553542,267.7857325,275.523444,274.9584409,286.3865224,280.9730975,274.1561145,272.1830165,261.2770714,262.0623733,264.4704193,231.175379,242.4488156
as97,199.2020178,198.1269604,193.9948391,177.2316001,186.3898697,186.5363594,198.5810459,200.2042493,209.9847432,228.4610598,257.4169594,263.9715241,268.475541,276.2984859,276.1235595,287.248267,281.5835994,275.0001969,272.8222523,261.8911434,262.3727252,265.1009164,231.638039,242.8811012
as98,200.3521345,198.6217568,195.0993967,177.8232724,187.1061233,187.0961382,198.9662796,200.9613183,210.5662099,228.9502427,257.799603,265.3270794,268.9988474,276.3599116,277.0730165,288.3001053,282.2381792,275.710968,273.3369605,262.5457317,263.176745,266.068712,232.4072027,243.8326982
as99,200.8033915,199.5838858,195.5285534,178.736568,188.1544311,187.7029439,199.6698056,201.6167487,211.2371278,229.6684607,259.0722429,265.8069285,269.4458237,276.3599116,277.3543271,288.7575704,283.2668894,277.1063924,274.4879115,263.2779672,263.7057184,267.1804869,233.1363381,244.7164029
as100,201.3111071,200.1619001,195.7968503,179.3707858,188.8022525,188.4723115,200.3181019,202.3832645,212.0994784,230.2304094,259.8502729,266.1047242,270.2462787,278.6175136,278.5759138,289.1301314,284.0119353,277.6286801,275.3238029,264.1196033,264.3515331,267.8724131,233.8974505,244.856112
as101,202.3843948,200.7275648,195.7968503,180.1106756,189.460651,189.3396676,201.017237,203.072296,212.6785084,231.0925031,260.7438707,267.234992,270.9599883,279.1058239,278.9531391,290.5514674,284.4355847,277.8083354,276.1724873,264.9106457,265.1846753,269.2529737,234.4329199,245.6471145
as102,203.2457856,201.4861309,195.7968503,180.6454512,190.1336175,189.8612007,201.557033,203.6969856,213.3837232,231.6868073,261.1701193,268.2203989,271.8267643,279.8205454,280.0575953,291.0233777,285.2902189,277.8083354,276.5844489,265.5045283,265.915631,269.3200297,235.1064147,246.4381169
as103,203.930258,202.3168956,197.142184,181.3985686,191.1400068,190.8830595,201.9678317,204.3733943,214.0666011,232.0818997,261.345661,268.3419398,272.7529543,280.5746448,281.0509042,291.4609028,285.8153142,279.1300566,277.0238583,265.9197083,266.2648569,269.3200297,235.8089098,246.4381169
as104,204.317542,203.3956313,199.1015994,182.3868181,191.7210323,191.2751353,203.4026022,205.3778785,214.7966305,232.5196967,262.171447,268.3419398,272.8629153,281.2421115,281.4491395,291.4609028,287.1742911,280.8764108,277.5064121,266.8250085,267.1662347,269.3200297,236.1719133,247.4670042
as105,205.2139941,203.7462256,199.2649377,182.9892496,192.4151224,192.0798799,203.728468,205.9671172,215.1540083,233.5026265,264.0524734,270.1783723,272.8629153,281.7462851,282.7351289,291.4609028,287.6186571,281.3903027,278.3736121,267.1254541,267.698913,272.1116893,236.6931906,248.4958916
as106,205.6826264,203.7462256,199.9321692,183.6045787,193.1458295,193.0328438,204.4502515,206.8123107,216.0914371,234.3715452,264.2102673,270.772197,272.8629153,282.2504586,282.8658711,293.3803966,288.4704294,281.3903027,278.7582584,267.1254541,268.0989616,272.364289,237.5709478,248.4958916
as107,206.7503026,203.7462256,200.5994007,184.6842895,193.3379703,193.7144326,204.4933503,207.0193735,216.9717418,235.0401978,265.3073285,271.6815056,272.8629153,283.1361145,282.8658711,295.2998903,289.1878861,281.3903027,280.42856,268.8293398,269.4812653,272.364289,238.6557699,248.4958916
as108,207.0991845,205.3823984,201.5695605,185.1590016,193.3379703,194.4511797,205.2661583,207.9347606,217.5303551,235.6581722,265.7295347,272.0364701,274.4426601,284.0217704,283.921894,295.2998903,289.7331454,282.8320287,280.5393937,269.3776291,269.9991994,272.364289,239.1342624,250.1819047
as109,207.8341208,207.0954559,202.8341739,185.6270561,194.5965876,194.9189627,206.0389663,208.1234618,217.9949453,236.1287445,266.3415005,272.0364701,276.6472019,284.0217704,285.3167395,295.2998903,290.9797552,284.9636908,281.9359418,269.9216984,270.3679315,274.0528317,239.7324177,251.8679177
as110,208.4150453,207.8173397,203.1286277,186.514213,195.8552049,195.4385255,207.453771,208.1234618,219.1997828,236.8190086,267.5769616,272.0364701,276.9734984,284.0217704,285.655562,295.2998903,291.0476745,285.8893452,282.4575145,270.0842656,270.3679315,276.3665951,240.08784,251.8679177
as111,208.4150453,208.7856209,203.1286277,187.1497914,195.8552049,196.2867485,207.7763025,209.9002026,219.5366132,237.4537435,268.2004567,272.0364701,276.9734984,284.0217704,285.655562,297.3737732,291.0476745,286.1250633,283.58617,271.5117455,270.3679315,276.6565635,240.6427935,251.8679177
as112,209.6135413,208.9992925,204.2831157,187.9821662,195.8552049,197.6065648,207.7763025,210.4180353,220.2541544,237.867918,268.2004567,272.0364701,276.9734984,284.0217704,285.655562,299.4476561,291.0476745,286.9092338,284.0020629,271.7287812,270.3679315,276.6565635,241.3763893,253.4356596
as113,211.0817866,208.9992925,205.4376037,188.0690115,195.8552049,197.9006598,207.7763025,210.4180353,221.0014223,237.867918,268.2004567,272.0364701,278.4210432,286.3590852,285.655562,299.4476561,291.0476745,287.6934043,284.2690545,271.7287812,272.1046663,276.6565635,242.2398564,255.0034015
as114,211.3515359,208.9992925,206.0254788,189.553961,195.8552049,197.9931824,207.7763025,211.2637504,221.7819458,237.867918,268.2004567,272.0364701,279.868588,288.6963999,285.655562,299.4476561,294.1948895,287.6934043,284.8682144,271.7287812,273.8414011,276.6565635,242.5684282,255.0034015
as115,212.0321583,208.9992925,207.1741194,189.7922189,195.8552049,197.9931824,207.7763025,212.5969424,222.4473361,239.1221691,270.0272284,272.0364701,279.868588,288.6963999,285.655562,299.4476561,295.1542075,287.6934043,285.4673742,271.7287812,273.8414011,276.6565635,242.5684282,255.0034015
as116,212.7127807,208.9992925,207.7348848,189.7922189,195.8552049,199.1087186,207.7763025,213.2780916,222.9333827,240.8257011,271.8540002,275.0843636,279.868588,288.6963999,285.655562,301.5185362,295.6882259,287.6934043,285.4673742,271.7287812,273.8414011,276.6565635,243.9919298,255.0034015
as117,212.7127807,208.9992925,207.7348848,190.9356187,195.8552049,200.2242549,210.0294025,213.4717637,223.6485777,241.4984098,271.8540002,278.1322571,279.868588,288.6963999,285.655562,304.1591228,295.9618001,287.6934043,285.4673742,271.7287812,273.8414011,276.6565635,244.5544056,255.0034015
as118,212.7127807,208.9992925,207.7348848,192.8293005,195.8552049,200.2242549,212.2825024,213.4717637,224.3637726,242.0527531,271.8540002,278.1322571,279.868588,288.6963999,285.655562,304.7288293,295.9618001,287.6934043,285.4673742,271.7287812,275.8173719,276.6565635,245.1333857,255.0034015
as119,212.7127807,208.9992925,207.7348848,193.2133382,195.8552049,200.2242549,212.2825024,213.4717637,224.3637726,242.1413049,271.8540002,278.1322571,279.868588,288.6963999,285.655562,305.5243977,297.2793192,287.6934043,285.4673742,271.7287812,277.7933427,276.6565635,246.0195446,255.0034015
as120,214.727741,212.6188165,209.7413403,194.0158024,200.0278625,201.9532565,213.4355291,216.5614728,226.4916132,243.434867,273.9961742,279.6926232,284.2857777,291.4800163,290.6208518,306.9606962,298.9864692,291.5719188,287.8925454,274.8652429,278.4809091,280.9163041,246.7659556,258.4785995
